x0, x1, x2, class
1.0, 0.6229043428335148, 1.0005092318229827, 0.0;
1.0, -0.9487973079449644, 0.046974513461238425, 1.0;
1.0, -0.7765410338412891, 0.990253503620096, 1.0;
1.0, 2.4706096956680326, -0.16707468654663343, 0.0;
1.0, 0.061421331655635875, -0.2960672652213188, 1.0;
1.0, -1.1285189400118634, 2.143812041554576, 1.0;
1.0, -2.2523477296761096, 1.4256443772841585, 1.0;
1.0, 0.7860124910535781, -0.4634893379898406, 1.0;
1.0, -0.17487536990637675, -1.8016622194258947, 1.0;
1.0, -0.25328554698523686, -0.3104996685571345, 1.0;
1.0, 0.1443121213966098, -2.615009868682575, 1.0;
1.0, -1.37224900479816, -0.5282916880261492, 1.0;
1.0, -0.6380731879480402, 1.2978425452074402, 1.0;
1.0, 1.180397939301438, -2.097983799617669, 1.0;
1.0, 1.631693675427977, 0.43537150200501534, 0.0;
1.0, -0.303801327799213, 1.0247228628801828, 0.0;
1.0, -2.5882082020709434, 1.2883591656915971, 1.0;
1.0, -0.31947452333960324, -0.3313969310869738, 1.0;
1.0, -1.0008373177118848, -1.22152703974825, 1.0;
1.0, 1.5152324080982054, 1.368289411784781, 0.0;
1.0, -0.66585005600501, -1.3343248420628862, 1.0;
1.0, -1.2235951604839643, 0.22552397430034918, 1.0;
1.0, -0.20923977234639285, -0.9250557648390886, 1.0;
1.0, 0.4284550002516326, -0.21761833219323132, 1.0;
1.0, 0.8368810966285088, 1.9499633779853545, 1.0;
1.0, -0.65010599004058, -0.8409474839342591, 1.0;
1.0, 1.0160262564243516, 1.4883665555733732, 1.0;
1.0, 1.0202259870811397, -0.9644175686807261, 0.0;
1.0, -1.3235628242477417, 1.1389256477845118, 1.0;
1.0, -0.8656257988014819, -0.78658396902202, 1.0;
1.0, -0.6327989254035319, 0.28401501804398344, 1.0;
1.0, 0.08721511861496506, -0.2511066180305067, 1.0;
1.0, -2.160935545024432, 0.3342669873583471, 1.0;
1.0, -1.3640469930160213, -1.841386569626135, 1.0;
1.0, 1.2556664780859657, 1.0005506970226545, 0.0;
1.0, 1.399300387811011, 0.7638251762335114, 0.0;
1.0, 1.5195340137424733, 0.8363492081149495, 0.0;
1.0, 2.826528864071943, -0.16778122454073582, 0.0;
1.0, -0.595369797446916, -0.6393077463841044, 1.0;
1.0, 0.543252408681849, 1.129571781877752, 0.0;
1.0, 0.2553460518057806, -0.3118142004783988, 1.0;
1.0, -0.18850630196088877, -0.3502673730669811, 0.0;
1.0, -0.18860227001478957, 0.8514852810379869, 1.0;
1.0, -0.07650126619834438, 0.563800332565486, 1.0;
1.0, 0.6284974309382962, -0.9952609729206656, 0.0;
1.0, -1.346160557138545, 0.6514198273771588, 1.0;
1.0, 0.3847195352769775, -1.2320956546628883, 0.0;
1.0, -0.221647139135767, -0.039497102242194555, 1.0;
1.0, -0.3199634257807386, -1.0018114883114821, 1.0;
1.0, 0.30008651232976696, 1.9113633861492054, 1.0;
1.0, -0.6571568670829278, -0.31362742455836223, 1.0;
1.0, -2.193928116770389, 1.0311621411428409, 1.0;
1.0, -0.6722265746148025, 0.6821632688040197, 1.0;
1.0, 2.284718712395908, -0.0591040431018306, 0.0;
1.0, 0.09694562279256959, -0.36405579672280347, 0.0;
1.0, 1.2200266549381218, 0.31676664175313984, 0.0;
1.0, -1.2696462582179684, -0.5588266146764904, 1.0;
1.0, 0.4880605412389873, 1.4322601290236625, 1.0;
1.0, 0.9638861763884777, 0.6309318963728814, 1.0;
1.0, 0.466626598886557, 0.6143496442632069, 1.0;
1.0, -0.5948119417647493, 1.474084104071115, 1.0;
1.0, 1.336220413751938, -0.2577641911849322, 0.0;
1.0, 0.012062974206742983, 1.3616571389643848, 1.0;
1.0, -1.2907184908681142, -0.8706868045397212, 1.0;
1.0, -0.61951340970754, -1.8693576524506725, 1.0;
1.0, -2.506220033131101, -0.5379321335886315, 1.0;
1.0, -0.1601831002931108, -0.4508995432125993, 1.0;
1.0, -0.577742398518727, -0.35300365893670227, 1.0;
1.0, 0.1408282023506499, -1.1522978090129887, 0.0;
1.0, 1.0911606816163792, 0.6301042954019411, 0.0;
1.0, -0.5725915780599419, 0.05159842739769528, 1.0;
1.0, 0.483724390892174, -1.9210238929657537, 1.0;
1.0, -0.025296047786881198, 0.11697987794650888, 1.0;
1.0, -0.5365668937341866, 2.7392734343985756, 1.0;
1.0, -0.034698116630015416, 0.34851131814248654, 1.0;
1.0, 0.9770416044874279, -0.9476820100195503, 1.0;
1.0, -0.28400471077362405, -1.3418665333743671, 1.0;
1.0, -0.8014840602584096, -0.6025785564078517, 1.0;
1.0, -0.32651142463659066, -0.37222993707534735, 1.0;
1.0, 0.5089898679952884, -0.3083111688158236, 0.0;
1.0, 0.39907522032932513, 0.31366612713009334, 0.0;
1.0, 0.35783335696530844, 0.18982699885472298, 1.0;
1.0, -0.007975615529393763, 2.9432256900394282, 1.0;
1.0, -0.5597414401564076, -0.07632419141681124, 1.0;
1.0, -0.12906877077624584, 0.6032963725607274, 1.0;
1.0, 0.1809651891347286, 0.927866297678016, 1.0;
1.0, -0.3209408850222296, -0.21739336270653892, 1.0;
1.0, -1.2857208736522547, 0.9183317646188429, 1.0;
1.0, -0.776072675397284, 0.4671972421238767, 1.0;
1.0, -0.632556952052309, -0.058509966715851056, 1.0;
1.0, 0.43567424102911734, 1.1057552304201856, 1.0;
1.0, 0.07028312855834076, 0.2707952836807531, 0.0;
1.0, 0.6410212674271845, -1.4394376096610868, 1.0;
1.0, 0.5080227819132614, 1.194910411123885, 1.0;
1.0, -0.03414268258889153, 0.6199880884276021, 1.0;
1.0, 0.960425648410046, 0.9448464349588868, 0.0;
1.0, 1.6462156660029, 1.2416355928824971, 0.0;
1.0, 0.9672845704896486, 0.1878903464067507, 1.0;
1.0, 0.1273843563166369, 1.5722673175806317, 1.0;
1.0, 0.1416367409963926, -1.4232174676196059, 0.0;
